,Survey,Year,Quarter,DateTime,ShootLat,ShootLong,Depth,Clupea_harengus_juvenile,Clupea_harengus_adult,YearQuarter
5297,NS-IBTS,1991,1,15-01-1991 07:40:00 AM,55.2833,5.3833,39,10.831783284577822,61.22893255363687,1
5298,NS-IBTS,1991,1,15-01-1991 09:33:00 AM,55.1,5.6333,40,5.492772792721253,17.00946781358971,1
5299,NS-IBTS,1991,1,15-01-1991 12:39:00 PM,54.7667,5.6333,40,0.09807796891086525,8.58421698092844,1
5300,NS-IBTS,1991,1,15-01-1991 03:14:00 PM,54.7167,5.1667,40,0.6124273393591471,14.34033521329954,1
5309,NS-IBTS,1991,1,16-01-1991 07:45:00 AM,54.8167,4.5167,43,0.860079112907145,99.89421618802994,1
5310,NS-IBTS,1991,1,16-01-1991 09:50:00 AM,54.6833,4.6167,44,0.4273657192469457,31.378911757040942,1
5311,NS-IBTS,1991,1,16-01-1991 12:29:00 PM,54.4167,4.6167,44,0.0,33.837966520833206,1
5312,NS-IBTS,1991,1,16-01-1991 12:41:00 PM,53.95,5.45,31,0.7370494909705333,311.8023966455871,1
5313,NS-IBTS,1991,1,16-01-1991 03:01:00 PM,54.1333,4.4167,44,0.10118577798907588,70.68827013250812,1
5320,NS-IBTS,1991,1,17-01-1991 07:40:00 AM,54.3333,5.6,38,0.19304812874351984,4.042902570459083,1
5321,NS-IBTS,1991,1,17-01-1991 09:40:00 AM,54.15,5.4833,38,0.02218863541905833,6.268083790325486,1
5322,NS-IBTS,1991,1,17-01-1991 02:57:00 PM,53.7333,5.25,26,0.23392118084367863,8.249793902262333,1
5338,NS-IBTS,1991,1,20-01-1991 07:44:00 AM,52.6,4.3,19,1.3911948180221165,5.434688892478734,1
5339,NS-IBTS,1991,1,20-01-1991 09:37:00 AM,52.75,3.9667,24,0.05547158854764583,57.68005513242461,1
5340,NS-IBTS,1991,1,20-01-1991 12:44:00 PM,52.4667,4.0833,20,0.38796482317601777,26.10874443014122,1
5341,NS-IBTS,1991,1,20-01-1991 03:02:00 PM,52.3667,3.85,22,0.047485079916327305,1.0623111571118051,1
5350,NS-IBTS,1991,1,21-01-1991 07:39:00 AM,51.6667,2.1333,43,0.0,6.847487865587225,1
5351,NS-IBTS,1991,1,21-01-1991 07:54:00 AM,61.2333,0.4833,160,0.0,0.34389667956086045,1
5352,NS-IBTS,1991,1,21-01-1991 10:28:00 AM,51.9,1.8167,34,0.0,0.8155834570232341,1
5353,NS-IBTS,1991,1,21-01-1991 11:33:00 AM,60.7667,0.5833,140,0.0,2.039584287607674,1
5354,NS-IBTS,1991,1,21-01-1991 01:21:00 PM,52.0667,1.9167,26,0.0,0.4430492907354107,1
5355,NS-IBTS,1991,1,21-01-1991 02:23:00 PM,60.7,1.15,140,0.0,0.0,1
5356,NS-IBTS,1991,1,21-01-1991 03:30:00 PM,52.2,2.1333,46,0.0,0.40154068903245477,1
5357,NS-IBTS,1991,1,21-01-1991 05:45:00 PM,61.05,1.2333,140,0.0,6.364185517830051,1
5367,NS-IBTS,1991,1,22-01-1991 07:44:00 AM,53.4667,0.9,19,0.0,1.3286985091688055,1
5368,NS-IBTS,1991,1,22-01-1991 09:13:00 AM,60.3167,2.3667,100,0.0,846.5311212921098,1
5369,NS-IBTS,1991,1,22-01-1991 12:23:00 PM,53.8167,0.85,35,0.0,0.16990994955093525,1
5370,NS-IBTS,1991,1,22-01-1991 12:50:00 PM,60.5833,3.0667,154,0.0,134.6201420211449,1
5371,NS-IBTS,1991,1,22-01-1991 02:26:00 PM,53.9,1.2167,34,0.0,0.4931054703154476,1
5372,NS-IBTS,1991,1,22-01-1991 03:46:00 PM,60.6167,2.6167,108,0.0,4.215669776619395,1
5373,NS-IBTS,1991,1,22-01-1991 07:41:00 PM,61.0667,2.4333,140,0.0,0.5188516226424745,1
5374,NS-IBTS,1991,1,23-01-1991 07:47:00 AM,54.2167,0.2167,57,0.0,0.5953836587832589,1
5375,NS-IBTS,1991,1,23-01-1991 10:24:00 AM,54.4833,0.0,62,0.0,0.0,1
5376,NS-IBTS,1991,1,23-01-1991 11:10:00 AM,60.1333,3.15,147,0.0,26.830990207220882,1
5377,NS-IBTS,1991,1,23-01-1991 12:53:00 PM,54.7667,-0.3167,63,0.06735946133944294,4.370547593377374,1
5378,NS-IBTS,1991,1,23-01-1991 02:20:00 PM,59.7667,3.1167,129,0.0,1.3047704743426634,1
5379,NS-IBTS,1991,1,23-01-1991 03:20:00 PM,54.8333,0.0167,70,0.0,8.895615480228962,1
5380,NS-IBTS,1991,1,23-01-1991 05:22:00 PM,59.6667,2.4833,110,0.0,78.60857100132627,1
5381,NS-IBTS,1991,1,24-01-1991 07:27:00 AM,55.4,6.5,40,9.64425274860314,31.99141679363408,1
5382,NS-IBTS,1991,1,24-01-1991 07:51:00 AM,55.4167,-0.6333,82,0.0,24.662956458257813,1
5383,NS-IBTS,1991,1,24-01-1991 08:00:00 AM,60.2167,1.6667,107,0.0,251.08862076526182,1
5384,NS-IBTS,1991,1,24-01-1991 09:55:00 AM,55.3667,-1.1,98,0.0,4.540759579883256,1
5385,NS-IBTS,1991,1,24-01-1991 10:13:00 AM,55.3833,7.2833,15,3.264342303196819,50.299241249137445,1
5386,NS-IBTS,1991,1,24-01-1991 11:50:00 AM,60.15,0.7667,140,0.0,154.70553385711528,1
5387,NS-IBTS,1991,1,24-01-1991 12:51:00 PM,55.3167,8.0333,16,58.757619813323764,79.71534942026302,1
5388,NS-IBTS,1991,1,24-01-1991 12:59:00 PM,55.7167,-1.2667,69,0.0,11.08245681662485,1
5389,NS-IBTS,1991,1,24-01-1991 02:37:00 PM,59.8167,0.6833,120,0.0,138.32675568908783,1
5390,NS-IBTS,1991,1,24-01-1991 03:26:00 PM,54.9167,7.8667,20,25.722508236850874,580.7959298016124,1
5391,NS-IBTS,1991,1,24-01-1991 03:43:00 PM,55.8333,-0.7667,71,0.0,0.64585462821209,1
5392,NS-IBTS,1991,1,25-01-1991 06:36:00 AM,59.6833,1.35,102,0.0,116.49402986712357,1
5393,NS-IBTS,1991,1,25-01-1991 07:33:00 AM,54.7,6.5,41,2.395119173316389,21.542189917076456,1
5394,NS-IBTS,1991,1,25-01-1991 07:44:00 AM,55.1167,0.9167,63,0.0,0.40328497196196766,1
5395,NS-IBTS,1991,1,25-01-1991 09:30:00 AM,54.9333,1.0167,57,0.0,0.5020139166639701,1
5396,NS-IBTS,1991,1,25-01-1991 09:53:00 AM,59.3167,1.45,98,0.0,153.09837660563528,1
5397,NS-IBTS,1991,1,25-01-1991 11:28:00 AM,54.2833,5.6,42,1.8131192953900104,17.71692970756709,1
5398,NS-IBTS,1991,1,25-01-1991 12:50:00 PM,59.2667,0.7667,124,0.0,75.66067051999765,1
5399,NS-IBTS,1991,1,25-01-1991 02:22:00 PM,54.4167,1.5167,54,0.0,1.2088448911847551,1
5400,NS-IBTS,1991,1,25-01-1991 02:43:00 PM,54.25,4.6833,48,0.34606691812177426,59.22482980550405,1
5401,NS-IBTS,1991,1,25-01-1991 03:54:00 PM,58.9333,0.8167,126,0.0,13.056083408286193,1
5404,NS-IBTS,1991,1,26-01-1991 06:31:00 AM,59.3667,2.15,116,0.0,45.26852351471056,1
5405,NS-IBTS,1991,1,26-01-1991 07:37:00 AM,54.85,2.5,22,0.0,4.481979596122708,1
5406,NS-IBTS,1991,1,26-01-1991 07:45:00 AM,53.75,3.4667,38,1.8793768179062926,60.41129774480774,1
5407,NS-IBTS,1991,1,26-01-1991 09:14:00 AM,55.0167,2.7167,21,0.0,0.0,1
5408,NS-IBTS,1991,1,26-01-1991 10:36:00 AM,58.8,2.5333,110,0.0,146.10591533037353,1
5409,NS-IBTS,1991,1,26-01-1991 11:05:00 AM,54.25,2.7333,42,0.21520148839693773,13.18362655153939,1
5410,NS-IBTS,1991,1,26-01-1991 12:17:00 PM,55.0667,3.2167,24,0.0,1.1730242229319168,1
5411,NS-IBTS,1991,1,26-01-1991 01:18:00 PM,58.8667,3.15,110,0.0,22.454248922890823,1
5412,NS-IBTS,1991,1,26-01-1991 02:08:00 PM,54.3667,3.5167,47,3.6589891144562476,982.0528336367151,1
5413,NS-IBTS,1991,1,26-01-1991 02:41:00 PM,54.75,3.4333,40,0.0,121.44329096988713,1
5414,NS-IBTS,1991,1,26-01-1991 04:38:00 PM,59.2833,3.1333,134,0.0,149.72899413192962,1
5415,NS-IBTS,1991,1,26-01-1991 05:29:00 PM,54.65,2.7667,23,0.0,1.6340982119381453,1
5417,NS-IBTS,1991,1,27-01-1991 07:44:00 AM,54.7667,3.7333,47,1.2319210627960488,259.2067570828866,1
5418,NS-IBTS,1991,1,27-01-1991 07:46:00 AM,55.55,0.8333,78,0.0,0.2902542167372832,1
5419,NS-IBTS,1991,1,27-01-1991 09:34:00 AM,55.6167,1.2167,76,0.0,0.9638065471876822,1
5420,NS-IBTS,1991,1,27-01-1991 10:28:00 AM,55.2333,3.4833,30,0.0,0.0,1
5421,NS-IBTS,1991,1,27-01-1991 12:54:00 PM,55.4333,1.7667,66,0.0,0.9702786250004898,1
5422,NS-IBTS,1991,1,27-01-1991 01:24:00 PM,55.2667,2.6,39,0.0,0.2139103855653837,1
5423,NS-IBTS,1991,1,27-01-1991 01:56:00 PM,58.1167,3.65,85,0.0,2.9390696345801883,1
5424,NS-IBTS,1991,1,27-01-1991 03:28:00 PM,55.55,2.3,67,0.0,1.2516055835838151,1
5425,NS-IBTS,1991,1,27-01-1991 05:18:00 PM,55.2667,1.45,59,0.0,0.0,1
5426,NS-IBTS,1991,1,27-01-1991 05:37:00 PM,58.2,2.7333,66,0.0,0.24595047709827844,1
5431,NS-IBTS,1991,1,28-01-1991 06:26:00 AM,56.25,1.45,83,0.0,0.5003946416237164,1
5432,NS-IBTS,1991,1,28-01-1991 07:38:00 AM,53.9167,2.65,37,0.0,61.35048204313147,1
5433,NS-IBTS,1991,1,28-01-1991 09:22:00 AM,55.7833,1.4333,79,0.0,2.8149596426694377,1
5434,NS-IBTS,1991,1,28-01-1991 09:39:00 AM,54.1333,2.9167,45,0.0,25.321101423939446,1
5435,NS-IBTS,1991,1,28-01-1991 12:26:00 PM,55.75,0.55,95,0.0,0.0,1
5436,NS-IBTS,1991,1,28-01-1991 12:42:00 PM,54.0833,3.4667,41,5.9164663975980325,2716.62276073653,1
5437,NS-IBTS,1991,1,28-01-1991 03:26:00 PM,53.7333,3.5333,34,6.926148826084081,378.66379268202354,1
5438,NS-IBTS,1991,1,28-01-1991 04:35:00 PM,56.2333,0.5,90,0.0,0.257824985373594,1
5445,NS-IBTS,1991,1,29-01-1991 06:24:00 AM,56.8,0.4833,92,0.0,0.2737153527741374,1
5446,NS-IBTS,1991,1,29-01-1991 07:37:00 AM,53.0667,2.7167,32,0.6031105777262963,9.130391468401017,1
5447,NS-IBTS,1991,1,29-01-1991 08:50:00 AM,52.9667,2.5667,35,0.7341415758640264,3.5481617972657298,1
5448,NS-IBTS,1991,1,29-01-1991 09:25:00 AM,56.7667,1.3667,97,0.0,0.9189349427091557,1
5449,NS-IBTS,1991,1,29-01-1991 12:19:00 PM,57.1833,1.45,97,0.0,3.1017217538267703,1
5450,NS-IBTS,1991,1,29-01-1991 02:25:00 PM,57.0667,-1.7333,110,0.0,0.16470542952130396,1
5451,NS-IBTS,1991,1,29-01-1991 03:16:00 PM,57.3,0.6667,89,0.0,0.24256965625012245,1
5452,NS-IBTS,1991,1,29-01-1991 05:25:00 PM,57.6167,0.5833,89,0.0,0.6368124275594806,1
5453,NS-IBTS,1991,1,29-01-1991 07:02:00 PM,56.6667,-1.25,67,0.0,0.0818112648794178,1
5454,NS-IBTS,1991,1,29-01-1991 09:14:00 PM,59.3167,-0.4,135,0.0,1.9616342829287785,1
5455,NS-IBTS,1991,1,29-01-1991 09:51:00 PM,56.6,-0.8833,70,0.0,0.1620061903953091,1
5456,NS-IBTS,1991,1,30-01-1991 07:00:00 AM,57.8,-0.6167,116,0.0,0.38829061601495857,1
5457,NS-IBTS,1991,1,30-01-1991 07:21:00 AM,60.1667,-0.3667,126,0.0,14.757528286215152,1
5458,NS-IBTS,1991,1,30-01-1991 09:57:00 AM,58.25,-0.45,126,0.0,1.810222773973174,1
5459,NS-IBTS,1991,1,30-01-1991 11:03:00 AM,60.8167,-0.4667,110,0.0,0.0,1
5460,NS-IBTS,1991,1,30-01-1991 01:19:00 PM,58.3167,-1.4,90,0.0,11.03151440853914,1
5461,NS-IBTS,1991,1,30-01-1991 02:43:00 PM,61.1667,-0.9833,152,0.0,0.0,1
5462,NS-IBTS,1991,1,30-01-1991 04:05:00 PM,57.4,4.2,68,0.0,17.0609010314651,1
5463,NS-IBTS,1991,1,30-01-1991 05:15:00 PM,57.7333,-1.3,92,0.0,0.0,1
5464,NS-IBTS,1991,1,30-01-1991 07:25:00 PM,56.3,-0.9833,67,0.0,0.4131488262567017,1
5465,NS-IBTS,1991,1,30-01-1991 10:03:00 PM,60.8167,-1.6833,121,0.0,0.0,1
5466,NS-IBTS,1991,1,31-01-1991 06:23:00 AM,57.8333,-2.5333,85,0.0,2.704994687263087,1
5467,NS-IBTS,1991,1,31-01-1991 07:28:00 AM,60.0,-1.55,128,0.0,0.3631645217725645,1
5468,NS-IBTS,1991,1,31-01-1991 08:00:00 AM,58.2,4.5333,230,0.0,0.0,1
5469,NS-IBTS,1991,1,31-01-1991 08:23:00 AM,55.75,0.2,78,0.0,1.2545371201236983,1
5470,NS-IBTS,1991,1,31-01-1991 08:40:00 AM,57.85,-3.25,62,0.0,4306.480088035452,1
5471,NS-IBTS,1991,1,31-01-1991 10:45:00 AM,56.0,0.1667,85,0.0,0.5761570112450665,1
5472,NS-IBTS,1991,1,31-01-1991 10:57:00 AM,58.1667,-3.1667,63,0.0,7.935888766372165,1
5473,NS-IBTS,1991,1,31-01-1991 12:05:00 PM,57.8,4.6333,78,0.0,0.23484469532613245,1
5474,NS-IBTS,1991,1,31-01-1991 01:27:00 PM,58.3333,-2.5833,57,0.0,0.055642018513387986,1
5475,NS-IBTS,1991,1,31-01-1991 04:20:00 PM,56.5,1.1667,88,0.0,0.20193102957507306,1
5476,NS-IBTS,1991,1,31-01-1991 04:30:00 PM,57.8333,3.7167,70,0.0,0.0,1
5477,NS-IBTS,1991,1,31-01-1991 05:25:00 PM,58.65,-1.5333,113,0.0,0.6241728305493359,1
5478,NS-IBTS,1991,1,31-01-1991 05:55:00 PM,59.9667,-1.55,116,0.0,0.0,1
5479,NS-IBTS,1991,1,31-01-1991 07:46:00 PM,56.35,1.2833,85,0.0,0.128912492686797,1
5480,NS-IBTS,1991,1,31-01-1991 10:32:00 PM,59.7167,-0.1167,140,0.0,20.05583745323259,1
5057,NS-IBTS,1991,1,01-02-1991 06:28:00 AM,58.7333,-0.5833,130,0.0,0.9569990872781293,1
5058,NS-IBTS,1991,1,01-02-1991 07:25:00 AM,59.3,-1.5,97,0.0,0.0,1
5059,NS-IBTS,1991,1,01-02-1991 07:55:00 AM,57.9167,0.3333,130,0.0,0.0,1
5060,NS-IBTS,1991,1,01-02-1991 08:20:00 AM,55.55,1.65,78,0.0,1.7942722409333298,1
5061,NS-IBTS,1991,1,01-02-1991 09:03:00 AM,59.2667,-1.5,97,0.0,0.0,1
5062,NS-IBTS,1991,1,01-02-1991 10:00:00 AM,59.3167,-0.3667,136,0.0,0.2902542167372832,1
5063,NS-IBTS,1991,1,01-02-1991 11:08:00 AM,58.2667,0.6667,145,0.0,0.0,1
5064,NS-IBTS,1991,1,01-02-1991 11:21:00 AM,55.5667,2.2167,72,0.0,5.381175437031969,1
5065,NS-IBTS,1991,1,01-02-1991 12:47:00 PM,59.7,-0.2667,138,0.0,96.46561836617715,1
5066,NS-IBTS,1991,1,01-02-1991 01:47:00 PM,55.4667,2.1833,52,0.0,7.961073360362789,1
5067,NS-IBTS,1991,1,01-02-1991 02:30:00 PM,58.5,1.3667,122,0.0,3.295594948872495,1
5068,NS-IBTS,1991,1,01-02-1991 04:06:00 PM,59.7167,-0.5833,130,0.0,7.100540003293894,1
5069,NS-IBTS,1991,1,02-02-1991 06:25:00 AM,60.4333,0.1667,139,0.0,16.297231250157374,1
5070,NS-IBTS,1991,1,02-02-1991 07:35:00 AM,58.2,1.5667,97,0.0,41.0347009877301,1
5071,NS-IBTS,1991,1,02-02-1991 08:52:00 AM,60.7,0.7167,153,0.0,12.074748807674652,1
5072,NS-IBTS,1991,1,02-02-1991 10:30:00 AM,57.9167,1.5833,90,0.0,57.074138293586,1
5073,NS-IBTS,1991,1,02-02-1991 11:37:00 AM,61.1167,0.6833,164,0.0,21.096033316008807,1
5074,NS-IBTS,1991,1,02-02-1991 01:40:00 PM,57.65,2.2833,77,0.0,18.653179513759166,1
5075,NS-IBTS,1991,1,02-02-1991 02:09:00 PM,61.25,1.25,155,0.0,58.49257292754059,1
5076,NS-IBTS,1991,1,02-02-1991 04:10:00 PM,57.3333,2.4,75,0.0,19.7947376106359,1
5077,NS-IBTS,1991,1,02-02-1991 05:20:00 PM,61.2833,2.05,157,0.0,4.914790168969101,1
5078,NS-IBTS,1991,1,03-02-1991 06:25:00 AM,60.2167,1.3833,123,0.0,163.40887098155093,1
5079,NS-IBTS,1991,1,03-02-1991 07:30:00 AM,56.8333,2.4667,67,0.0,1.497372698957686,1
5080,NS-IBTS,1991,1,03-02-1991 08:21:00 AM,56.9667,0.55,90,0.0,1.084678871634871,1
5081,NS-IBTS,1991,1,03-02-1991 09:07:00 AM,60.6167,1.45,142,0.0,1113.015662895994,1
5082,NS-IBTS,1991,1,03-02-1991 12:15:00 PM,57.0833,3.3333,61,0.0,0.0,1
5083,NS-IBTS,1991,1,03-02-1991 01:14:00 PM,57.2333,1.45,95,0.0,3.8132432209224256,1
5084,NS-IBTS,1991,1,03-02-1991 01:15:00 PM,60.6667,2.3,128,0.0,16.461480262781432,1
5085,NS-IBTS,1991,1,03-02-1991 03:37:00 PM,56.8333,3.3667,61,0.0,1.2326584415454662,1
5086,NS-IBTS,1991,1,03-02-1991 07:58:00 PM,57.3167,2.35,81,0.0,41.50069468547332,1
5087,NS-IBTS,1991,1,04-02-1991 06:38:00 AM,59.8667,1.4,113,0.0,122.89012252594115,1
5088,NS-IBTS,1991,1,04-02-1991 07:30:00 AM,56.5667,4.9667,58,0.0,84.39623636334497,1
5089,NS-IBTS,1991,1,04-02-1991 08:04:00 AM,57.0667,-1.7167,94,0.0,0.4365134838332698,1
5090,NS-IBTS,1991,1,04-02-1991 08:20:00 AM,56.7833,2.5833,71,0.0,1.5621706714524735,1
5091,NS-IBTS,1991,1,04-02-1991 09:45:00 AM,56.75,4.8667,56,0.0,256.6032292082616,1
5092,NS-IBTS,1991,1,04-02-1991 10:33:00 AM,60.25,2.5833,103,0.0,2.0790531473474974,1
5093,NS-IBTS,1991,1,04-02-1991 12:13:00 PM,56.4833,2.6333,71,0.0,13.343488467827083,1
5094,NS-IBTS,1991,1,04-02-1991 12:30:00 PM,56.6667,5.3333,53,0.0,211.52262406151502,1
5095,NS-IBTS,1991,1,04-02-1991 01:30:00 PM,52.6,4.5,19,20.537972715351028,2.845714553515062,1
5096,NS-IBTS,1991,1,04-02-1991 02:20:00 PM,56.65,5.6667,52,0.0,23.132209844314676,1
5097,NS-IBTS,1991,1,04-02-1991 02:30:00 PM,60.2667,3.1333,140,0.0,233.40125120518354,1
5098,NS-IBTS,1991,1,04-02-1991 03:55:00 PM,52.8667,4.5,22,5.6264386485585565,41.79567489938058,1
5099,NS-IBTS,1991,1,04-02-1991 04:13:00 PM,56.6833,6.1,45,0.0,52.29676993262412,1
5100,NS-IBTS,1991,1,04-02-1991 04:32:00 PM,56.7833,3.4333,68,0.0,0.9459075470325745,1
5101,NS-IBTS,1991,1,04-02-1991 05:15:00 PM,60.5667,3.0833,162,0.0,83.0263273410632,1
5102,NS-IBTS,1991,1,04-02-1991 08:36:00 PM,57.0,3.6333,62,0.0,1.593395605580446,1
5103,NS-IBTS,1991,1,05-02-1991 06:30:00 AM,59.7,3.1833,158,0.0,25.00077981854538,1
5104,NS-IBTS,1991,1,05-02-1991 07:22:00 AM,53.1667,4.75,19,2.407194307374232,5.976166600007147,1
5105,NS-IBTS,1991,1,05-02-1991 07:50:00 AM,57.0333,7.7333,30,0.0,40.62141593452334,1
5106,NS-IBTS,1991,1,05-02-1991 08:24:00 AM,56.1667,3.6667,69,0.0,459.76952919360025,1
5107,NS-IBTS,1991,1,05-02-1991 09:02:00 AM,59.7667,2.5167,120,0.0,6.9432034879203295,1
5108,NS-IBTS,1991,1,05-02-1991 09:05:00 AM,56.2833,-2.0333,50,0.0,1.2903169288636849,1
5109,NS-IBTS,1991,1,05-02-1991 09:39:00 AM,53.3167,4.35,30,33.9984214043295,644.5065069940209,1
5110,NS-IBTS,1991,1,05-02-1991 10:34:00 AM,55.9667,3.6667,65,0.0,3349.433973056911,1
5111,NS-IBTS,1991,1,05-02-1991 10:40:00 AM,57.1333,7.25,52,0.0,91.07792572824744,1
5112,NS-IBTS,1991,1,05-02-1991 12:20:00 PM,57.9333,5.45,161,0.0,80.79255817765262,1
5113,NS-IBTS,1991,1,05-02-1991 12:45:00 PM,59.3,2.3,129,0.0,339.6397343279487,1
5114,NS-IBTS,1991,1,05-02-1991 12:52:00 PM,53.35,3.6833,30,6.466508288586523,175.9105607890841,1
5115,NS-IBTS,1991,1,05-02-1991 12:58:00 PM,56.3333,-1.3667,60,0.0,188.38684945542727,1
5116,NS-IBTS,1991,1,05-02-1991 01:33:00 PM,55.9333,4.1167,52,0.0,440.6928930505354,1
5117,NS-IBTS,1991,1,05-02-1991 01:45:00 PM,57.2667,6.7,72,0.0,16.84129058230294,1
5118,NS-IBTS,1991,1,05-02-1991 02:31:00 PM,53.1,3.5833,27,0.4047431119563035,41.87026648280715,1
5119,NS-IBTS,1991,1,05-02-1991 03:43:00 PM,56.0167,4.1833,55,0.0,190.3607812675471,1
5120,NS-IBTS,1991,1,05-02-1991 03:55:00 PM,57.45,5.4333,82,0.0,173.0422387293758,1
5121,NS-IBTS,1991,1,05-02-1991 04:14:00 PM,59.3,1.2833,115,0.0,46.783445859680874,1
5122,NS-IBTS,1991,1,05-02-1991 04:30:00 PM,57.3667,6.3,77,0.0,42.39368298631617,1
5123,NS-IBTS,1991,1,05-02-1991 04:33:00 PM,52.85,3.4833,31,0.0,947.0121655757763,1
5124,NS-IBTS,1991,1,05-02-1991 04:55:00 PM,56.2667,-0.5667,75,0.0,3.21896434578534,1
5125,NS-IBTS,1991,1,05-02-1991 08:45:00 PM,57.2167,6.2167,67,0.0,23.336214079368844,1
5126,NS-IBTS,1991,1,06-02-1991 06:35:00 AM,59.2,0.55,134,0.0,20.326983064864052,1
5127,NS-IBTS,1991,1,06-02-1991 07:25:00 AM,52.6167,3.35,32,0.0,16.36131955689884,1
5128,NS-IBTS,1991,1,06-02-1991 07:37:00 AM,56.6167,7.8667,26,14.885461633451234,5.133481133147102,1
5129,NS-IBTS,1991,1,06-02-1991 08:19:00 AM,56.7,4.05,51,0.0,0.47393529514411614,1
5130,NS-IBTS,1991,1,06-02-1991 08:25:00 AM,57.4167,7.6333,115,0.0,98.80802353621424,1
5131,NS-IBTS,1991,1,06-02-1991 09:50:00 AM,57.0833,-0.2667,81,0.0,0.0,1
5132,NS-IBTS,1991,1,06-02-1991 10:37:00 AM,58.85,1.35,123,0.0,1576.9622489266455,1
5133,NS-IBTS,1991,1,06-02-1991 11:00:00 AM,56.5667,7.1833,33,7.615612042660242,18.03175830443812,1
5134,NS-IBTS,1991,1,06-02-1991 01:02:00 PM,56.7333,-0.5167,71,0.0,0.0,1
5135,NS-IBTS,1991,1,06-02-1991 01:02:00 PM,57.3,4.3667,65,0.0,395.4750801274252,1
5136,NS-IBTS,1991,1,06-02-1991 01:45:00 PM,56.5333,6.8333,42,0.2761244859453697,3.4425884907650683,1
5137,NS-IBTS,1991,1,06-02-1991 02:20:00 PM,56.65,6.9,32,0.5765740108343868,7.635571600140018,1
5138,NS-IBTS,1991,1,06-02-1991 02:37:00 PM,58.8,2.2667,109,0.0,348.6585420443902,1
