,Unnamed: 0,Survey,Year,ShootLat,ShootLong,DateTime,Clupea_harengus_JUV,Clupea_harengus_SA,Clupea_harengus_LA
20346,20346,NS-IBTS,2016,56.4507,11.0865,2016-08-30 07:26:00,0.0,0.0,7.673325072011229
2879,2879,NS-IBTS,1985,56.6333,-1.3667,1985-02-02 21:20:00,0.0,18.932376686529025,6.260787461623017
3119,3119,NS-IBTS,1986,53.8333,2.5833,1986-06-02 15:22:00,81.7866345548519,1.14114440364122,0.6498994548297201
9874,9874,NS-IBTS,1999,53.5667,5.2667,1999-02-23 15:45:00,668.8095635447912,9.007180687387297,12.559023607713163
21716,21716,NS-IBTS,2018,58.325,-2.758,2018-07-29 12:08:00,0.0,0.0,2.8173803635511607
694,694,NS-IBTS,1979,54.1833,5.05,1979-02-19 16:40:00,0.0,3.3313644074239788,2.4041335840781968
13381,13381,NS-IBTS,2004,56.5733,1.2643,2004-07-30 06:44:00,0.0,0.20237322329054672,340.8330476636778
14631,14631,NS-IBTS,2006,56.9013,12.2645,2006-09-14 10:40:00,1984.0001419208054,16.560692861400508,691.2840983192847
20620,20620,NS-IBTS,2016,59.6923,3.1993,2016-01-20 08:20:00,0.0,0.0,2.387526999101426
21257,21257,NS-IBTS,2017,60.2584,1.4193,2017-09-02 10:57:00,0.0,0.0,2.9325799107046384
11181,11181,NS-IBTS,2001,53.85,6.8833,2001-12-02 09:43:00,133515.48296899724,3.394645994657345,0.3938327984089703
638,638,NS-IBTS,1978,60.9333,-1.1167,1978-02-18 19:55:00,0.0,0.0,2.769913863434736
11492,11492,NS-IBTS,2001,57.25,-1.4833,2001-09-02 13:39:00,0.0,0.0,4.141934381000792
17077,17077,NS-IBTS,2010,60.5672,-2.2685,2010-12-02 07:34:00,0.0,0.0,10.519812456026195
19675,19675,NS-IBTS,2015,55.7137,2.7853,2015-08-13 16:49:00,0.0,0.6204469760153829,6.643575238934653
7863,7863,NS-IBTS,1995,56.7333,4.65,1995-01-24 12:03:00,38.6990863637332,5.515006361599612,7.231211027547077
1991,1991,NS-IBTS,1983,55.1,4.5,1983-02-16 12:32:00,1712.68747908001,51.25989029580897,6.841263031559408
17488,17488,NS-IBTS,2011,57.5143,10.8173,2011-05-09 05:44:00,29752.293473212936,28.713172793807512,6.78760826787007
6587,6587,NS-IBTS,1993,55.1,0.8667,1993-09-17 17:46:00,0.0,0.2625767840715362,38.95644573756793
2206,2206,NS-IBTS,1983,59.15,0.8,1983-02-24 15:45:00,0.0,0.0,16.56899212853174
20269,20269,NS-IBTS,2016,55.6033,-0.8048,2016-08-20 14:11:00,0.0,0.0,39.092612213651094
8640,8640,NS-IBTS,1996,59.2833,-0.3,1996-08-23 09:41:00,0.0,0.0,106.65215988714445
21254,21254,NS-IBTS,2017,60.2538,0.5820000000000001,2017-08-21 04:29:00,0.0,0.0,12.829395235306029
6554,6554,NS-IBTS,1993,54.75,3.4333,1993-09-19 12:28:00,16499.67099167095,411.1554675873829,15.990488315462828
14348,14348,NS-IBTS,2006,51.808,2.0335,2006-02-21 09:36:00,0.0,0.03635877587631645,0.0
17173,17173,NS-IBTS,2011,53.8228,2.234,2011-09-02 08:31:00,57124.005191325254,153.88234766723158,9.466161150105432
20038,20038,NS-IBTS,2015,60.3845,1.2357,2015-08-29 13:33:00,0.0,0.0,203.10716844915126
4464,4464,NS-IBTS,1989,54.2333,5.4667,1989-08-02 13:24:00,3905.2247903743764,23.51683042381921,6.434556518444617
6431,6431,NS-IBTS,1993,53.5333,4.1,1993-08-19 16:42:00,2283.583305440013,16.27173233448471,4.192083553315427
4814,4814,NS-IBTS,1990,54.2333,6.3167,1990-06-02 07:29:00,0.0,6.3888929815071815,97.86772341284978
5004,5004,NS-IBTS,1990,57.7833,-0.4833,1990-07-02 21:28:00,0.0,0.4339527429397507,3.5464667353045285
11944,11944,NS-IBTS,2002,55.2333,0.5,2002-02-25 11:01:00,0.0,0.1533948578490301,80.87302553148524
5343,5343,NS-IBTS,1991,56.0833,5.8667,1991-11-01 08:42:00,2547.5967787082564,9.212592188089358,0.4067491119185928
12764,12764,NS-IBTS,2003,56.5492,12.5717,2003-11-09 09:55:00,0.0,57.15537575168778,871.2136318695834
20290,20290,NS-IBTS,2016,55.9173,0.5489999999999999,2016-09-02 16:07:00,0.0,0.0,5.430505690494468
1953,1953,NS-IBTS,1983,54.65,0.5,1983-02-20 12:49:00,0.0,1043.0645810383057,161.45603547196
352,352,NS-IBTS,1978,53.7833,3.3333,1978-02-25 07:38:00,0.0,1.2184062434532483,4.933591024927336
18446,18446,NS-IBTS,2013,55.1302,6.5408,2013-08-02 07:18:00,1052.766214551409,20.895817541491773,1.2484876948541783
7770,7770,NS-IBTS,1995,55.8,5.1833,1995-08-16 17:28:00,23.172812025168728,0.12309975961023688,0.3878375043992093
2447,2447,NS-IBTS,1984,56.3,12.2667,1984-07-02 09:40:00,2631.49271936378,15.096357610895744,21.049626157770795
14949,14949,NS-IBTS,2007,53.7648,2.7934,2007-02-21 06:43:00,10816.016187326397,145.28447964459463,0.0
1945,1945,NS-IBTS,1983,54.4167,7.8333,1983-02-13 09:53:00,349.6478223986673,0.2745832135903855,0.6297587927861615
11761,11761,NS-IBTS,2001,61.2333,0.55,2001-08-30 07:40:00,0.0,0.0,11.964794457699478
10814,10814,NS-IBTS,2000,57.05,-1.8167,2000-08-28 12:14:00,137.95623796350688,0.11775476911332974,0.0
397,397,NS-IBTS,1978,54.2667,7.3333,1978-02-21 14:40:00,0.0,0.6387463698870934,8.912285654671637
14559,14559,NS-IBTS,2006,56.141000000000005,4.8145,2006-02-17 09:56:00,0.0,31.21257677936563,8.302155757950166
6518,6518,NS-IBTS,1993,54.2667,7.7,1993-02-16 12:42:00,2355.5460213357023,4.067274165624259,0.19370731132049215
13578,13578,NS-IBTS,2004,58.4108,0.7482,2004-08-30 08:51:00,0.0,0.0,4.913801591926591
17473,17473,NS-IBTS,2011,57.3552,1.082,2011-11-02 14:39:00,0.0,0.0,4.897670522692796
14599,14599,NS-IBTS,2006,56.5617,12.607999999999999,2006-09-13 15:13:00,0.0,0.0,7.29955807822607
11123,11123,NS-IBTS,2001,52.55,4.1667,2001-08-08 16:48:00,42.063016842173965,0.0,0.7214295948850797
17123,17123,NS-IBTS,2011,51.5234,1.7574,2011-01-20 13:04:00,31.19374556031396,0.2891009312974968,0.0
5568,5568,NS-IBTS,1991,57.85,-3.25,1991-01-31 08:40:00,0.0,0.0,4306.480088035452
15010,15010,NS-IBTS,2007,54.7541,1.1082,2007-08-02 13:10:00,0.0,0.0,1.590029398569099
21899,21899,NS-IBTS,2019,52.3247,2.6957,2019-07-02 10:09:00,0.0,0.0,0.20047963448528827
5722,5722,NS-IBTS,1991,60.3833,-2.6833,1991-08-21 14:25:00,0.0,0.0,67.63251305990062
18069,18069,NS-IBTS,2012,57.5643,11.6247,2012-01-21 14:22:00,649.8156138178324,46.474941669228045,0.9837094643353531
5190,5190,NS-IBTS,1991,54.0667,2.5667,1991-08-13 11:49:00,0.0,0.5396619287747912,39.61300644343915
12582,12582,NS-IBTS,2003,54.6333,5.6,2003-11-08 12:48:00,35682.28064601739,17.13306716121049,0.07395438398519869
20773,20773,NS-IBTS,2017,53.9653,6.473,2017-02-15 14:29:00,173879.15033222962,50.123484171247576,175.44933896938903
8979,8979,NS-IBTS,1997,56.8167,12.2167,1997-12-02 11:20:00,5368.053895880028,310.79940374065103,90.21519985962222
7572,7572,NS-IBTS,1994,59.3167,1.7833,1994-11-08 16:17:00,0.0,0.0,0.4364258025129184
246,246,NS-IBTS,1977,57.7667,-0.55,1977-02-27 12:46:00,58.71375604636593,5.62420553887654,0.9199473233535898
8703,8703,NS-IBTS,1996,61.25,0.5333,1996-08-29 13:13:00,0.0,0.0,1.3449232208120163
13,13,NS-IBTS,1977,53.2167,1.7167,1977-01-02 10:30:00,1579.8775092020019,7.708580152172747,0.0
4801,4801,NS-IBTS,1990,53.9167,4.7667,1990-04-02 08:54:00,19.3495431818666,2.4645185606287456,12.491689436709054
275,275,NS-IBTS,1977,58.3667,3.5833,1977-02-21 12:20:00,0.0,0.0,1.115629923775387
13505,13505,NS-IBTS,2004,57.7833,-0.4142,2004-08-16 06:16:00,0.0,0.0,3053.236811748233
1475,1475,NS-IBTS,1981,56.8167,3.0667,1981-11-02 09:38:00,0.0,0.0,0.7496292129776526
2278,2278,NS-IBTS,1984,53.9167,5.7333,1984-02-16 13:02:00,16448.57232326692,9.43226362930377,1.8794382485575232
2745,2745,NS-IBTS,1985,54.6333,5.7,1985-02-20 07:19:00,3493.5131718526222,91.25420851956741,26.335106750037998
12712,12712,NS-IBTS,2003,56.15,7.3833,2003-02-21 08:58:00,53206.407694558475,603.3965931221595,6.630591741659731
13732,13732,NS-IBTS,2005,51.9175,1.8148,2005-02-24 10:12:00,22.188635419058333,0.22856996267071655,0.4564800418155062
18098,18098,NS-IBTS,2012,57.78,4.7133,2012-06-03 09:36:00,0.0,0.0,99.90147714777952
8652,8652,NS-IBTS,1996,59.6333,1.75,1996-08-19 05:55:00,0.0,0.0,2.439248813382934
20191,20191,NS-IBTS,2016,54.4449,1.6753,2016-11-02 07:16:00,0.0,0.1349154821936978,4.238487367976021
12736,12736,NS-IBTS,2003,56.2607,2.5672,2003-08-29 15:48:00,0.0,0.0,27.79803985163657
3835,3835,NS-IBTS,1987,57.0167,11.65,1987-03-02 10:05:00,41015.05447433409,597.5357422558461,211.65838374296712
11259,11259,NS-IBTS,2001,54.6333,5.5333,2001-10-02 09:27:00,1646.9648359153225,5.72583178374866,0.8574200384334507
20626,20626,NS-IBTS,2016,59.7396,-0.4154,2016-07-21 03:53:00,0.0,0.0,7.198536355796563
4383,4383,NS-IBTS,1988,61.2333,-0.2167,1988-09-02 06:15:00,0.0,0.0,1.9546981022532064
4575,4575,NS-IBTS,1989,56.2167,6.55,1989-11-02 07:46:00,424.0409242329432,41.922279496252266,4.508149153373081
14507,14507,NS-IBTS,2006,55.2749,8.1628,2006-08-02 09:49:00,85.50045555071596,0.0,0.0
3214,3214,NS-IBTS,1986,54.75,5.7833,1986-11-02 09:30:00,408043.54568878404,614.7177306487205,70.77434547383514
2794,2794,NS-IBTS,1985,55.25,1.5167,1985-11-02 05:20:00,0.0,0.0,0.08819024756960503
10560,10560,NS-IBTS,2000,53.9432,0.8225,2000-05-02 06:34:00,0.0,24.112838458190517,4.475082888707665
3874,3874,NS-IBTS,1987,57.6,2.3167,1987-07-02 07:05:00,0.0,0.31402819444663965,0.5643087143061551
18676,18676,NS-IBTS,2013,57.8128,-2.5932,2013-06-02 10:38:00,0.0,0.213302390544824,1.0797891538784894
9970,9970,NS-IBTS,1999,54.8333,0.4167,1999-02-02 07:33:00,0.0,0.0,71.01425034553867
20559,20559,NS-IBTS,2016,58.61600000000001,-3.7960000000000003,2016-08-13 17:27:00,0.0,0.0,10.455842453222287
4370,4370,NS-IBTS,1988,60.3833,1.7167,1988-10-02 16:17:00,0.0,0.0,102.44039350347046
14124,14124,NS-IBTS,2005,57.7612,9.8063,2005-01-27 14:46:00,366.7984452104002,17.935687622981845,237.8104354652493
21179,21179,NS-IBTS,2017,58.92100000000001,1.026,2017-08-22 09:07:00,0.0,0.0,1347.2834260083769
19306,19306,NS-IBTS,2014,57.913000000000004,-3.326,2014-01-26 14:44:00,379.44666745903464,13.246827080149313,1.7592448270029737
1300,1300,NS-IBTS,1981,53.0833,3.5167,1981-02-02 21:10:00,0.0,0.8085878978831091,0.7510177009398172
13675,13675,NS-IBTS,2004,60.2267,1.4183,2004-10-09 10:54:00,0.0,0.0,78.32124161852563
11316,11316,NS-IBTS,2001,55.2833,4.5667,2001-08-14 14:07:00,29.085416196829357,0.4546512733690334,0.07395438398519869
8723,8723,NS-IBTS,1997,51.9166,3.75,1997-02-24 13:33:00,73.32556199782769,0.08133652084552348,0.4298063268604946
20708,20708,NS-IBTS,2017,51.3954,2.2806,2017-08-02 13:40:00,0.0,0.03236881281477084,0.6720150135669424
8743,8743,NS-IBTS,1997,52.6833,4.35,1997-02-17 13:48:00,50478.19180957905,268.8499685133299,24.21193041830668
17087,17087,NS-IBTS,2010,60.7467,2.7683,2010-11-02 10:50:00,0.0,0.0,94.12792745395392
10571,10571,NS-IBTS,2000,54.1159,1.675,2000-09-13 06:29:00,0.0,0.03635877587631645,1.1981204658095639
14867,14867,NS-IBTS,2006,60.9267,0.5778,2006-03-08 15:24:00,0.0,0.0,11.641271496862053
3315,3315,NS-IBTS,1986,56.1333,7.6833,1986-02-16 10:06:00,189.86626429414775,0.2722055516652553,0.0
9454,9454,NS-IBTS,1998,55.7167,2.6,1998-08-14 18:26:00,0.0,0.1349154821936978,61.50442957503887
11582,11582,NS-IBTS,2001,58.0,-1.1833,2001-08-20 16:56:00,0.0,0.0,80.99648895225972
18869,18869,NS-IBTS,2013,61.17100000000001,-1.492,2013-08-15 09:46:00,0.0,0.0,8.719556579245596
18090,18090,NS-IBTS,2012,57.7142,4.7398,2012-08-19 08:35:00,0.0,0.0,2.196200337156355
17501,17501,NS-IBTS,2011,57.63,4.5017,2011-08-07 18:30:00,0.0,0.9764189487023508,30.429054034181746
17459,17459,NS-IBTS,2011,57.2116,-1.5491,2011-07-02 08:07:00,0.0,0.0,24.384273191726088
14653,14653,NS-IBTS,2006,57.1902,12.0588,2006-02-15 11:55:00,0.0,103.25346230231109,25.30479049790069
11728,11728,NS-IBTS,2001,60.25,2.6167,2001-06-09 22:47:00,0.0,0.0,3.8059810965448446
11239,11239,NS-IBTS,2001,54.4167,0.3,2001-03-02 16:12:00,0.0,0.0,0.5746352504046317
7039,7039,NS-IBTS,1994,51.8,3.6,1994-06-08 16:36:00,4422.370069361145,0.25453246883197195,0.0
17587,17587,NS-IBTS,2011,58.4917,11.1277,2011-01-18 14:43:00,0.0,6975.419897661238,361.7680473748762
4339,4339,NS-IBTS,1988,59.3333,2.15,1988-06-02 09:26:00,0.0,0.0,6.172942982887496
13562,13562,NS-IBTS,2004,58.2532,11.1652,2004-05-02 08:56:00,0.0,0.0,1.7279586268855436
14011,14011,NS-IBTS,2005,56.5882,-0.4138,2005-08-22 14:26:00,0.0,0.0,14.085367149068981
17581,17581,NS-IBTS,2011,58.3998,-2.5678,2011-08-29 15:54:00,36.1161155267716,0.0,41.17041621479076
11800,11800,NS-IBTS,2002,52.8,2.7,2002-02-16 07:14:00,231.35777167026637,0.4802764372766252,0.0808608748982894
2311,2311,NS-IBTS,1984,54.3167,0.1333,1984-07-02 15:33:00,0.0,0.6601105969481336,5.570389334082892
481,481,NS-IBTS,1978,55.4167,5.25,1978-07-02 09:55:00,0.0,9.63409173314176,4.966084420782423
2098,2098,NS-IBTS,1983,56.85,3.2667,1983-01-03 15:35:00,0.0,0.17328597244425806,1.0942204241538358
5911,5911,NS-IBTS,1992,54.8833,6.0333,1992-07-09 05:16:00,24974.060108064605,3.848744966700888,1.5335929376085062
19909,19909,NS-IBTS,2015,58.1017,2.8233,2015-01-25 15:35:00,0.0,0.0,0.3054030853343725
16229,16229,NS-IBTS,2009,56.3614,12.5462,2009-08-25 13:15:00,102974.02115298182,255.800644694681,26.539531082168327
6098,6098,NS-IBTS,1992,56.8,11.8167,1992-02-13 15:35:00,0.0,9.896343540519572,84.1968344944019
18632,18632,NS-IBTS,2013,57.3165,2.6443,2013-01-31 12:41:00,0.0,0.0,0.3631645217725645
1350,1350,NS-IBTS,1981,54.5167,6.0833,1981-02-18 13:45:00,227.66800047542077,36.296117658229,7.619060671679629
1662,1662,NS-IBTS,1982,54.75,5.75,1982-02-21 06:10:00,1730.5922049220305,36.5375753937469,4.378690216288728
14009,14009,NS-IBTS,2005,56.5682,1.261,2005-07-23 08:27:00,0.0,2.6334911965666583,182.3027124002364
6197,6197,NS-IBTS,1992,57.7833,-2.5833,1992-02-13 08:14:00,2204.734097991979,27.861158987709942,1.2185496285500736
20805,20805,NS-IBTS,2017,54.4094,7.1208,2017-07-19 05:28:00,25.29644449726897,0.061357943139612035,0.0
33,33,NS-IBTS,1977,53.7667,5.3167,1977-02-16 08:30:00,0.0,9.54067078990306,9.665808614287617
438,438,NS-IBTS,1978,54.7333,4.2167,1978-02-03 10:25:00,0.0,44.927319534058455,55.369543384796465
4828,4828,NS-IBTS,1990,54.55,3.3167,1990-06-02 14:24:00,0.0,8.527345982752617,63.033751255565576
8301,8301,NS-IBTS,1996,55.2333,4.7333,1996-08-09 05:05:00,173.21283602111828,0.16728429500846864,6.122938317191052
14395,14395,NS-IBTS,2006,53.8125,3.6083,2006-01-26 12:39:00,6050.174260126092,11.673606952164883,44.991182144043776
10770,10770,NS-IBTS,2000,56.5667,-0.4,2000-08-26 05:53:00,0.0,0.17339678762671776,4.409062812127726
5041,5041,NS-IBTS,1990,58.3667,-0.8333,1990-03-02 08:47:00,0.0,0.0,183.88402901644082
8923,8923,NS-IBTS,1997,56.2333,-1.4833,1997-02-27 09:31:00,0.0,44.938970488456974,21.374215095763443
11680,11680,NS-IBTS,2001,59.2833,3.1167,2001-12-09 03:55:00,0.0,0.0,1.0385147630775025
3286,3286,NS-IBTS,1986,55.7,2.7167,1986-04-02 12:47:00,0.0,115.94164145463098,111.71664987835959
10125,10125,NS-IBTS,1999,56.5833,6.8833,1999-08-29 06:02:00,116097.89569026064,434.85681733560585,309.8866357855188
15781,15781,NS-IBTS,2008,57.6676,11.1923,2008-01-09 10:50:00,16072.729017618452,2.930793311244911,1.551807885053407
9938,9938,NS-IBTS,1999,54.4167,1.5667,1999-02-19 07:20:00,0.0,73.12777951905085,161.49261121502727
4473,4473,NS-IBTS,1989,54.3333,0.9333,1989-10-02 12:50:00,0.0,5.8375937571624075,5.896993434540994
20906,20906,NS-IBTS,2017,56.0258,4.0625,2017-05-02 07:14:00,0.0,5.4897506118724815,1.4893701325372564
4930,4930,NS-IBTS,1990,56.3833,1.35,1990-08-02 09:43:00,0.0,0.0,25.28256810058634
19788,19788,NS-IBTS,2015,56.825,5.5283,2015-01-24 07:52:00,2375.0729713194783,1.7955613571197873,0.17638049513921006
19798,19798,NS-IBTS,2015,57.0372,0.2025,2015-08-18 05:04:00,0.0,0.0,55.479414202165664
16438,16438,NS-IBTS,2009,59.2683,-1.1832,2009-08-24 05:58:00,0.0,0.05564201851338799,19.758745498235648
16413,16413,NS-IBTS,2009,58.7592,2.5938,2009-08-22 19:36:00,0.0,0.0,59.4286793696009
8793,8793,NS-IBTS,1997,54.2167,1.5333,1997-08-27 12:40:00,11219.09983602144,148.03102093252545,47.165859200235204
10568,10568,NS-IBTS,2000,54.05,8.05,2000-02-25 15:38:00,1452.9920934005984,0.907095613361713,0.0808608748982894
16796,16796,NS-IBTS,2010,56.5904,6.9954,2010-08-14 11:49:00,7586.767288144832,0.5713651665160673,12.303004768245016
13323,13323,NS-IBTS,2004,55.92,-0.3293,2004-07-30 17:09:00,0.0,0.0,86.27745756033336
3561,3561,NS-IBTS,1987,53.4333,5.1833,1987-03-02 15:18:00,230397.22378791485,0.0,0.3752606069341421
1301,1301,NS-IBTS,1981,53.1,3.5333,1981-02-23 15:40:00,0.0,0.0,0.09595556556573658
10260,10260,NS-IBTS,1999,57.7667,-0.4,1999-08-22 05:38:00,0.0,0.0,77.39524360626233
11639,11639,NS-IBTS,2001,58.6667,10.8255,2001-06-09 05:19:00,0.0,0.0,11.869511041795562
415,415,NS-IBTS,1978,54.35,8.0833,1978-09-02 08:45:00,25.29644449726897,6.7530866791707655,2.5090454475025923
3676,3676,NS-IBTS,1987,54.8333,4.5667,1987-04-02 07:17:00,3905.4093602892144,437.90751736139987,100.15008924281318
1026,1026,NS-IBTS,1980,53.5333,3.6167,1980-12-02 13:47:00,862.0219240143884,25.20541692689908,10.568631502592584
2932,2932,NS-IBTS,1985,57.6333,0.55,1985-02-15 11:10:00,0.0,12.158183381136501,135.09075422356537
9280,9280,NS-IBTS,1998,53.2,4.2167,1998-03-09 08:48:00,0.0,0.0,0.20047963448528827
14569,14569,NS-IBTS,2006,56.2258,0.5281,2006-06-02 07:27:00,0.0,0.0,1.4801084230728605
9348,9348,NS-IBTS,1998,54.3,2.7667,1998-06-09 07:59:00,0.0,2.066560191100718,0.0
6490,6490,NS-IBTS,1993,54.1,4.15,1993-02-23 09:35:00,0.0,46.379743144913576,191.04356608140702
8876,8876,NS-IBTS,1997,55.5667,7.2,1997-07-09 10:40:00,20730.43626551192,817.3968521046655,175.35690225703982
12289,12289,NS-IBTS,2002,58.4967,11.1233,2002-05-09 10:44:00,3024452.0620201733,0.0,0.0
5910,5910,NS-IBTS,1992,54.8833,-0.2667,1992-08-19 06:31:00,0.0,0.7757640226137624,2496.4800322203782
19917,19917,NS-IBTS,2015,58.216,-2.505,2015-07-31 15:16:00,0.0,0.0,0.5474307055482748
15149,15149,NS-IBTS,2007,56.6497,-1.6153,2007-01-21 10:56:00,0.0,0.0,0.9198245958164496
18237,18237,NS-IBTS,2012,59.78,2.577,2012-12-02 07:30:00,0.0,0.0,15.948650821091006
6890,6890,NS-IBTS,1993,58.1833,-0.8333,1993-08-22 05:20:00,0.0,0.06796509870975477,201.38989371078992
4925,4925,NS-IBTS,1990,56.3333,5.3333,1990-02-14 13:09:00,0.0,21.58294344195698,164.5108305500145
1732,1732,NS-IBTS,1982,56.0333,2.1,1982-08-02 07:30:00,0.0,0.10324728142886748,0.450023442780024
3625,3625,NS-IBTS,1987,54.25,7.2667,1987-02-19 12:17:00,13633.709666542563,10.043915343140725,0.0
2072,2072,NS-IBTS,1983,56.4167,-0.6667,1983-02-28 15:35:00,166.41476564293748,16.876247839762815,593.964144153093
18443,18443,NS-IBTS,2013,55.1123,4.4341,2013-09-02 10:23:00,92.13106759546288,1.4530135596213811,0.14790876797039734
21594,21594,NS-IBTS,2018,57.0737,-0.2505,2018-08-25 04:49:00,0.0,0.0,111.27102023540891
14323,14323,NS-IBTS,2005,60.9203,-1.8853,2005-07-29 10:33:00,0.0,0.0,4.379821342047344
6269,6269,NS-IBTS,1992,58.5,11.1167,1992-10-02 13:07:00,692.0128090266013,116.16277283140663,23.040073275191155
9830,9830,NS-IBTS,1998,61.1,0.8,1998-08-20 12:15:00,0.0,0.0,9.693587124328426
8209,8209,NS-IBTS,1996,54.05,7.8333,1996-02-23 11:53:00,396477.5729462222,53.96124015126016,0.6771259746118292
5131,5131,NS-IBTS,1991,52.55,4.1667,1991-11-08 15:28:00,0.0,0.0,0.09381515173353552
14683,14683,NS-IBTS,2006,57.6068,11.095,2006-09-18 11:53:00,382.97658873081383,8.193019572225879,3.094763055794728
11096,11096,NS-IBTS,2001,51.5833,2.7833,2001-02-17 14:22:00,0.0,0.0,59.87169664944235
4290,4290,NS-IBTS,1988,58.1833,-1.0333,1988-05-02 15:49:00,0.0,0.0,104.56263909530013
19958,19958,NS-IBTS,2015,58.751000000000005,-0.779,2015-07-08 12:32:00,0.0,0.0,47.63182902166459
17316,17316,NS-IBTS,2011,55.758,5.2531,2011-01-02 08:05:00,0.0,3.8507673049166087,11.899541398073351
7539,7539,NS-IBTS,1994,58.7167,2.5667,1994-02-22 22:52:00,0.0,0.0,21.76907742704029
18609,18609,NS-IBTS,2013,57.1097,11.8315,2013-01-24 08:05:00,0.0,134.45002911421466,3353.7884515330516
15757,15757,NS-IBTS,2008,57.3441,11.5841,2008-05-09 09:06:00,27718.167203141278,4.673156553297766,113.18023428553629
8536,8536,NS-IBTS,1996,57.8333,-1.15,1996-08-26 04:59:00,0.0,0.0,12.8457792030615
5825,5825,NS-IBTS,1992,53.9333,1.3,1992-08-18 12:02:00,65747.23001674553,17.318291508277614,2.027720146645636
4915,4915,NS-IBTS,1990,56.1833,5.75,1990-02-14 10:57:00,403.81270929431327,10.469726979479525,7.086297711255473
7535,7535,NS-IBTS,1994,58.6667,2.5333,1994-01-18 23:15:00,0.0,0.0,0.8415711686339136
6245,6245,NS-IBTS,1992,58.15,-1.15,1992-02-16 15:09:00,0.0,0.3296560773897078,0.18158226088628224
13347,13347,NS-IBTS,2004,56.2032,10.9577,2004-08-09 05:25:00,0.0,168.26252486581953,41.28564412511618
21742,21742,NS-IBTS,2018,58.6657,10.8215,2018-01-22 07:51:00,80.49338636488827,0.10812600151961063,2.0043171185572333
221,221,NS-IBTS,1977,57.0667,-0.75,1977-02-19 21:30:00,0.0,0.0,0.12128482812506122
12671,12671,NS-IBTS,2003,55.6167,-0.8,2003-08-21 10:13:00,0.0,0.0,908.0715963152679
2780,2780,NS-IBTS,1985,55.0667,6.8333,1985-04-02 10:00:00,0.0,0.2272406426849884,0.20012548708847813
13070,13070,NS-IBTS,2003,60.3667,1.25,2003-01-28 11:03:00,0.0,0.09062013161300636,56.67357026799837
1315,1315,NS-IBTS,1981,53.7833,6.25,1981-04-03 12:25:00,565.7298846860801,1.5887375083358215,0.6078503742606811
4901,4901,NS-IBTS,1990,55.9167,-1.1333,1990-01-31 12:15:00,0.0,10.749926271709464,73.01853380215961
6273,6273,NS-IBTS,1992,58.5667,10.85,1992-08-09 07:08:00,2301.9820923056504,1.0309138303663097,0.0
14527,14527,NS-IBTS,2006,55.5943,5.0652,2006-07-08 05:28:00,0.0,0.2698309643873956,4.726823123742693
